Codice," Articolo"," Posizione Live",Appunti,Categoria,Descrizione,Etichetta Messa?,Parent item,Prenotazione,Stato,Sub-item
XLR-15M-04,Cavo XLR 15M (Giallo),Studio,,"Audio, Cavo",,SI,,,Operativo e funzionate,
CRG-UGN-001,Charger Ugreen 200W,Studio,,Accessorio,,SI,,,Operativo e funzionate,
SSD-SDK-003,SSD SanDisk 2 TB,Matteo,,Memoria,,SI,,,Operativo e funzionate,
,,,,Videocamere,,,,,,
,,,,Luci,,,,,,
HSS-WD-002,HDD WD 5TB,Matteo,da formattare,Memoria,,SI,,,In riparazione,
SSD-SDK-004,SSD SanDisk 2 TB,Matteo,,Memoria,,SI,,,Operativo e funzionate,
,,,,Memoria,,,,,,
,,,,,,,,,,
,,,,,,,,,,
SSD-SDK-005,SSD SanDisk 1 TB,Vittorio,,Memoria,,SI,,,Operativo e funzionate,
